category,filename,title,path,tags,license
01_Low_Profile_Perspective_Gradient,low_profile_perspective_29.svg,Low Profile Perspective Arrow 29,01_Low_Profile_Perspective_Gradient/low_profile_perspective_29.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_30.svg,Low Profile Perspective Arrow 30,01_Low_Profile_Perspective_Gradient/low_profile_perspective_30.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_31.svg,Low Profile Perspective Arrow 31,01_Low_Profile_Perspective_Gradient/low_profile_perspective_31.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_32.svg,Low Profile Perspective Arrow 32,01_Low_Profile_Perspective_Gradient/low_profile_perspective_32.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_33.svg,Low Profile Perspective Arrow 33,01_Low_Profile_Perspective_Gradient/low_profile_perspective_33.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_34.svg,Low Profile Perspective Arrow 34,01_Low_Profile_Perspective_Gradient/low_profile_perspective_34.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_35.svg,Low Profile Perspective Arrow 35,01_Low_Profile_Perspective_Gradient/low_profile_perspective_35.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_36.svg,Low Profile Perspective Arrow 36,01_Low_Profile_Perspective_Gradient/low_profile_perspective_36.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_37.svg,Low Profile Perspective Arrow 37,01_Low_Profile_Perspective_Gradient/low_profile_perspective_37.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_38.svg,Low Profile Perspective Arrow 38,01_Low_Profile_Perspective_Gradient/low_profile_perspective_38.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_39.svg,Low Profile Perspective Arrow 39,01_Low_Profile_Perspective_Gradient/low_profile_perspective_39.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_40.svg,Low Profile Perspective Arrow 40,01_Low_Profile_Perspective_Gradient/low_profile_perspective_40.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
